"526049989487624192","y","ICYMI | Tech commit Jarrett Stidham reportedly suffered an injury last night: http://t.co/7QX6AD6Bpx","http://t.co/7QX6AD6Bpx"
"526014088644550658","n","Massacre of mom, 3 kids still a mystery a decade later, but police keep searching for answers http://t.co/80JDCerTAZ http://t.co/03PMWkfpxp","http://t.co/80JDCerTAZ"
"526010724292640768","y","See all our Tech-TCU pregame coverage ... http://t.co/blqe3zSeOy","http://t.co/blqe3zSeOy"
"525872593463562241","y","Coronado's trap almost works against Tascosa: http://t.co/GE8dMFxusZ","http://t.co/GE8dMFxusZ"
"525872381626023936","y","Idalou rushes past Roosevelt, 41-30 http://t.co/wcGU55uo5n","http://t.co/wcGU55uo5n"
"525872214940200961","y","Floydada defeats Hale Center, makes move for a playoff spot http://t.co/JqSRRqU6ED","http://t.co/JqSRRqU6ED"
"525871875092516864","y","Turnovers major factor in New Deal shutout over Tahoka, 55-0: http://t.co/2XnrU9BBq6","http://t.co/2XnrU9BBq6"
"525864049104273408","y","Check out all our pregame coverage for tomorrow's matchup between Tech and TCU: http://t.co/dQ4fL6YQ3R http://t.co/GQd9FuZo7X","http://t.co/dQ4fL6YQ3R"
"525839533653237761","y","Tech target and three-star WR A.D. Miller leaves game with left knee injury, doesn't return: http://t.co/XfKfrtlPtH","http://t.co/XfKfrtlPtH"
"525838716133068800","y","Tech commit and five-star quarterback Jarrett Stidham reportedly suffers an injury, doesn't return to tonight's game: http://t.co/7QX6AD6Bpx","http://t.co/7QX6AD6Bpx"
"525811058254962688","y","Follow Hale Center at Floydada on http://t.co/2pbaNdFQNw's live Game Tracker: http://t.co/QsZQFiyeF1","http://t.co/2pbaNdFQNw"
"525810317708627968","y","Idalou at Roosevelt ... follow Krista Pirtle's exclusive Game Tracker coverage: http://t.co/5HbRnvLd3B","http://t.co/5HbRnvLd3B"
"525809882377617408","y","Plainview at Cooper ... follow Phil Terrigno's exclusive Game Tracker coverage at http://t.co/UGCIQBPcG3","http://t.co/UGCIQBPcG3"
"525808002310234113","y","Catch all the Lubbock, South Plains high school football scores on http://t.co/XBFhUQEO7u's scoreboard ... http://t.co/YlhoAKp4iI","http://t.co/XBFhUQEO7u"
"525755155514277889","n","Authorities: Remains belong to missing Va. student: http://t.co/9GWJM7tTd1","http://t.co/9GWJM7tTd1"
"525727662568775680","n","UPDATED: Police: Lone shooter dead after high school attack: http://t.co/YL14wR6bSp","http://t.co/YL14wR6bSp"
"525714605478133761","n","#BREAKING: Shooting reported at high school north of Seattle: http://t.co/XEwbizc5yG","http://t.co/XEwbizc5yG"
"525713551759925248","n","Why did TLC cancel its 'Honey Boo Boo' series? http://t.co/LxPfX67lzK http://t.co/dTt6Mw2cRT","http://t.co/LxPfX67lzK"
"525702473781350401","y","Check out our slideshow to see who has the worst fans in the Big 12 conference? http://t.co/Kx7RupHFEa","http://t.co/Kx7RupHFEa"
"525684951371751424","n","Lubbock man found guilty of biting, spitting on police officer http://t.co/cFDIdDpSF1","http://t.co/cFDIdDpSF1"
"525679933683929088","n","RT @AJ_GabeMonte: Kevin Jefferson sentenced to 10 years in prison fro spitting and biting  a police officer in 2013. http://t.co/Wl0q3Osm8U",""
"525665232224780288","n","Tootsie Rolls and Dots may be out and mini candy bars are in for popular Halloween candy, locals say http://t.co/Kx7RupHFEa","http://t.co/Kx7RupHFEa"
"525662842792730624","n","Hillside Christian Canyon pastor arrested on prostitution charge http://t.co/kT5VEaWcVB","http://t.co/kT5VEaWcVB"
"525652958461980672","y","Wreckem247 editor Daniel Paulling discusses C.J. Williamson and Courtney Wallace's commitments: http://t.co/42y21DZRHO","http://t.co/42y21DZRHO"
"525645987612610562","y","Tyler Castaneda, the younger brother of Tech offensive lineman Robert Castaneda, has committed to the Red Raiders: http://t.co/IXCrBo2TdU","http://t.co/IXCrBo2TdU"
"525496940025217024","y","Estacado finds right mix in win over Pampa http://t.co/088N8G2rSv http://t.co/CzbadGKJSQ","http://t.co/088N8G2rSv"
"525495556169158656","y","Amarillo runs past Monterey, 42-13 http://t.co/WHmR2leFZr","http://t.co/WHmR2leFZr"
"525457948886462466","n","Win tickets to LSO's Royal Fireworks show at the Civic Center Theater Fri. or Sat. http://t.co/06xEVsR1Kk http://t.co/ChNxu84g1b","http://t.co/06xEVsR1Kk"
"525427108290781185","y","One year has made a huge different for Tech target and Blinn College freshman Damion Ratley. http://t.co/X99v3mDc9J","http://t.co/X99v3mDc9J"
"525424124190285825","n","Lubbock City Council delays vote on expanded smoking ordinance http://t.co/pTKCSGdhcM","http://t.co/pTKCSGdhcM"
"525420544028860416","n","RT @AYoungReporter: Vote on smoking ban ordinance postponed indefinitely. A 4-3 vote with Robertson, Gibson and Griffith against.",""
"525411825102639104","n","RT @AYoungReporter: ""You'd think with this big a crowd we'd be talking about something controversial,"" Mayor Robertson said, starting Lubbo…",""
"525396957427027968","n","Watch as @BlakeUrsch_AJ and I offer tips on Halloween Candy &amp; attaining it. http://t.co/0Sob0wkdWd http://t.co/bkVGAoYKo3","http://t.co/0Sob0wkdWd"
"525390182933991424","y","Watch the AJ Pregame Show as we preview #TexasTech vs TCU. http://t.co/tOyvAt9lwN http://t.co/8hDW41lPgI","http://t.co/tOyvAt9lwN"
"525350973775306754","n","Win tickets to LSO's Royal Fireworks show at the Civic Center Theater Fri. or Sat. http://t.co/06xEVsR1Kk http://t.co/C0v19g87bx","http://t.co/06xEVsR1Kk"
"525297005661536256","n","RT @AYoungReporter: State of 'shelter' lifted at Lubbock Christian after suspects crash vehicle into utility pole near campus http://t.co/D…","http://t.co/D5I4wqmUeN"
"525290755787874304","n","Lubbock Christian University 'shelter' lifted, doors unlocked after police chase near campus http://t.co/AahYN5qMz7","http://t.co/AahYN5qMz7"
"525085492690186240","n","Win tickets to LSO's Royal Fireworks show at the Civic Center Theater Fri. or Sat. http://t.co/0ElkNj8pF8 http://t.co/q1RKAo68SX","http://t.co/0ElkNj8pF8"
"525035167216574465","n","Lubbock sheriff's office releases 911 calls from party that left Jakeem Grant injured http://t.co/OKKF8L2ujo","http://t.co/OKKF8L2ujo"
"525034996835581952","n","RT @AYoungReporter: Lubbock sheriff's office releases 911 audio from party injuring Jakeem Grant reported by @NicholasRTalbot, @nbrambila h…","http://t.co/rK11lgpus3"
"525033217191976960","n","Win tickets to LSO's Royal Fireworks show at the Civic Center Theater Fri. or Sat. http://t.co/0ElkNj8pF8 http://t.co/AKdCT9jRwq","http://t.co/0ElkNj8pF8"
"525003513265283072","y","It is time to Know Your Enemy as we look at the TCU Horned Frogs. http://t.co/QHQaGYp23O http://t.co/npVNes8Zmj","http://t.co/QHQaGYp23O"
"524968340453064705","n","Experts: Autopsy shows close-range wound for Brown in Ferguson police shooting http://t.co/JCxkUqJLaK","http://t.co/JCxkUqJLaK"
"524940651281256448","n","White River water board denies FBI investigation http://t.co/lqMk49JlqF","http://t.co/lqMk49JlqF"
"524923772034224130","n","Want to try 247? Buy one month, get two months FREE but only until 5 p.m. DETAILS: https://t.co/ZvGhY1ElNq","https://t.co/ZvGhY1ElNq"
"524798779665289216","n","Flu or Ebola? Check out our informative slideshow ... http://t.co/CSD2123XAW","http://t.co/CSD2123XAW"
"524751160448532480","n","Jury selection begins for Dixon murder-for-hire trial: http://t.co/PTWJS7nj2E http://t.co/Q4jQDfHe50","http://t.co/PTWJS7nj2E"
"524727307093544961","n","Billy Limbaugh indicted on robbery, kidnapping charges: http://t.co/LbL05hmPHE http://t.co/OsDiwYMm7p","http://t.co/LbL05hmPHE"
"524700636231655424","n","Toys R Us pulls controversial 'Breaking Bad' dolls: http://t.co/Y1pPxyL2Xw","http://t.co/Y1pPxyL2Xw"
"524688957242486784","y","247 | Close friends, Tubby Smith lead CJ Williamson (@AWDI5) to commit to Tech: http://t.co/5opYN0sRVg","http://t.co/5opYN0sRVg"
"524648753719181312","y","Texas Tech at No. 10/10 TCU (2:30 p.m. on FOX) is one of just three Big 12 match-ups on Saturday http://t.co/3Va48uJGC2","http://t.co/3Va48uJGC2"
"524648095230205952","n","RT @AYoungReporter: Report of a ""Hispanic man tied to the roof of a minivan"" in Lubbock #ScannerTraffic #YOLO",""
"524643301237207040","n","LP&amp;L and city square off on officials getting access to new generation bids http://t.co/hb2JqeczHt","http://t.co/hb2JqeczHt"
"524639796434460673","n","CVS will slap an extra payment on patients who fill prescriptions at stores that sell tobacco: http://t.co/MOuwwvQDs6 http://t.co/9YpkzHCuH5","http://t.co/MOuwwvQDs6"
"524635964136644608","y","Texas Tech LB Pete Robertson leads the Big 12 and is tied for No. 7 in the nation with 1.14 sacks per game http://t.co/cdbXlCwo5p","http://t.co/cdbXlCwo5p"
"524632467248910336","y","Want Texas Tech recruiting news? Great Wreckem247 deal ending soon. Buy one month, get two months free: https://t.co/XKQQY6aQgX","https://t.co/XKQQY6aQgX"
