526049989487624192,y,icymi tech commit jarrett stidham report suffer injuri last night,http://t.co/7QX6AD6Bpx,ICYMI | Tech commit Jarrett Stidham reportedly suffered an injury last night: http://t.co/7QX6AD6Bpx
526014088644550658,n,massacr mom 3 kid still mysteri decad later polic keep search answer,http://t.co/80JDCerTAZ,"Massacre of mom, 3 kids still a mystery a decade later, but police keep searching for answers http://t.co/80JDCerTAZ http://t.co/03PMWkfpxp"
526010724292640768,y,see all our tech tcu pregam coverag,http://t.co/blqe3zSeOy,See all our Tech-TCU pregame coverage ... http://t.co/blqe3zSeOy
525872593463562241,y,coronado trap almost work against tascosa,http://t.co/GE8dMFxusZ,Coronado's trap almost works against Tascosa: http://t.co/GE8dMFxusZ
525872381626023936,y,idalou rush past roosevelt 41-30,http://t.co/wcGU55uo5n,"Idalou rushes past Roosevelt, 41-30 http://t.co/wcGU55uo5n"
525872214940200961,y,floydada defeat hale center make move playoff spot,http://t.co/JqSRRqU6ED,"Floydada defeats Hale Center, makes move for a playoff spot http://t.co/JqSRRqU6ED"
525871875092516864,y,turnov major factor new deal shutout over tahoka 55-0,http://t.co/2XnrU9BBq6,"Turnovers major factor in New Deal shutout over Tahoka, 55-0: http://t.co/2XnrU9BBq6"
525864049104273408,y,check out all our pregam coverag tomorrow matchup between tech tcu,http://t.co/dQ4fL6YQ3R,Check out all our pregame coverage for tomorrow's matchup between Tech and TCU: http://t.co/dQ4fL6YQ3R http://t.co/GQd9FuZo7X
525839533653237761,y,tech target three star wr ad miller leav game left knee injuri doesn't return,http://t.co/XfKfrtlPtH,"Tech target and three-star WR A.D. Miller leaves game with left knee injury, doesn't return: http://t.co/XfKfrtlPtH"
525838716133068800,y,tech commit five star quarterback jarrett stidham report suffer injuri doesn't return tonight game,http://t.co/7QX6AD6Bpx,"Tech commit and five-star quarterback Jarrett Stidham reportedly suffers an injury, doesn't return to tonight's game: http://t.co/7QX6AD6Bpx"
525811058254962688,y,follow hale center floydada live game tracker,http://t.co/2pbaNdFQNw,Follow Hale Center at Floydada on http://t.co/2pbaNdFQNw's live Game Tracker: http://t.co/QsZQFiyeF1
525810317708627968,y,idalou roosevelt follow krista pirtl exclus game tracker coverag,http://t.co/5HbRnvLd3B,Idalou at Roosevelt ... follow Krista Pirtle's exclusive Game Tracker coverage: http://t.co/5HbRnvLd3B
525809882377617408,y,plainview cooper follow phil terrigno exclus game tracker coverag,http://t.co/UGCIQBPcG3,Plainview at Cooper ... follow Phil Terrigno's exclusive Game Tracker coverage at http://t.co/UGCIQBPcG3
525808002310234113,y,catch all lubbock south plain high school footbal score scoreboard,http://t.co/XBFhUQEO7u,"Catch all the Lubbock, South Plains high school football scores on http://t.co/XBFhUQEO7u's scoreboard ... http://t.co/YlhoAKp4iI"
525755155514277889,n,author remain belong miss va student,http://t.co/9GWJM7tTd1,Authorities: Remains belong to missing Va. student: http://t.co/9GWJM7tTd1
525727662568775680,n,updat polic lone shooter dead after high school attack,http://t.co/YL14wR6bSp,UPDATED: Police: Lone shooter dead after high school attack: http://t.co/YL14wR6bSp
525714605478133761,n,break shoot report high school north seattl,http://t.co/XEwbizc5yG,#BREAKING: Shooting reported at high school north of Seattle: http://t.co/XEwbizc5yG
525713551759925248,n,whi did tlc cancel it honey boo boo seri,http://t.co/LxPfX67lzK,Why did TLC cancel its 'Honey Boo Boo' series? http://t.co/LxPfX67lzK http://t.co/dTt6Mw2cRT
525702473781350401,y,check out our slideshow see who has worst fan big 12 confer,http://t.co/Kx7RupHFEa,Check out our slideshow to see who has the worst fans in the Big 12 conference? http://t.co/Kx7RupHFEa
525684951371751424,n,lubbock man found guilti bite spit polic offic,http://t.co/cFDIdDpSF1,"Lubbock man found guilty of biting, spitting on police officer http://t.co/cFDIdDpSF1"
525679933683929088,n,rt aj gabemont kevin jefferson sentenc 10 year prison fro spit bite polic offic 2013,,RT @AJ_GabeMonte: Kevin Jefferson sentenced to 10 years in prison fro spitting and biting  a police officer in 2013. http://t.co/Wl0q3Osm8U
525665232224780288,n,tootsi roll dot may out mini candi bar popular halloween candi local say,http://t.co/Kx7RupHFEa,"Tootsie Rolls and Dots may be out and mini candy bars are in for popular Halloween candy, locals say http://t.co/Kx7RupHFEa"
525662842792730624,n,hillsid christian canyon pastor arrest prostitut charg,http://t.co/kT5VEaWcVB,Hillside Christian Canyon pastor arrested on prostitution charge http://t.co/kT5VEaWcVB
525652958461980672,y,wreckem247 editor daniel paull discuss cj williamson courtney wallac commit,http://t.co/42y21DZRHO,Wreckem247 editor Daniel Paulling discusses C.J. Williamson and Courtney Wallace's commitments: http://t.co/42y21DZRHO
525645987612610562,y,tyler castaneda younger brother tech offens lineman robert castaneda has commit red raider,http://t.co/IXCrBo2TdU,"Tyler Castaneda, the younger brother of Tech offensive lineman Robert Castaneda, has committed to the Red Raiders: http://t.co/IXCrBo2TdU"
525496940025217024,y,estacado find right mix win over pampa,http://t.co/088N8G2rSv,Estacado finds right mix in win over Pampa http://t.co/088N8G2rSv http://t.co/CzbadGKJSQ
525495556169158656,y,amarillo run past monterey 42-13,http://t.co/WHmR2leFZr,"Amarillo runs past Monterey, 42-13 http://t.co/WHmR2leFZr"
525457948886462466,n,win ticket lso royal firework show civic center theater fri sat,http://t.co/06xEVsR1Kk,Win tickets to LSO's Royal Fireworks show at the Civic Center Theater Fri. or Sat. http://t.co/06xEVsR1Kk http://t.co/ChNxu84g1b
525427108290781185,y,one year has made huge differ tech target blinn colleg freshman damion ratley,http://t.co/X99v3mDc9J,One year has made a huge different for Tech target and Blinn College freshman Damion Ratley. http://t.co/X99v3mDc9J
525424124190285825,n,lubbock citi council delay vote expand smoke ordin,http://t.co/pTKCSGdhcM,Lubbock City Council delays vote on expanded smoking ordinance http://t.co/pTKCSGdhcM
